#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-3.6	53.7	1.17	1.09	0	0	50	0.0	80
0.5	-3.6	53.7	1.17	1.09	0	0	50	0.0	80
1.5	-3.0	53.0	1.13	1.13	0	0	42	0.0	80
2.5	-2.7	52.6	1.23	1.03	0	0	33	0.0	80
3.5	-2.3	52.2	1.09	0.88	0	0	25	0.0	80
4.5	-2.1	51.8	1.15	0.96	0	0	17	0.0	80
5.5	-2.2	52.0	1.06	1.06	0	0	8	0.0	80
6.5	-2.3	52.3	0.97	0.87	0	0	0	0.0	80
7.5	-2.4	52.6	1.12	1.0	0	0	0	0.0	80
8.5	-2.5	52.8	1.12	1.0	0	18	0	0.0	80
9.5	-2.2	52.0	0.97	0.87	0	32	0	0.0	80
10.5	-1.1	52.2	1.16	1.24	522	137	0	0.0	80
11.5	1.3	46.3	1.0	1.12	769	109	0	0.0	80
12.5	3.7	39.6	0.38	0.47	829	84	0	0.0	80
13.5	4.4	36.2	0.69	0.98	736	83	0	0.0	80
14.5	3.3	37.3	0.62	0.91	394	101	0	0.0	80
15.5	0.9	44.5	0.85	0.85	0	17	0	0.0	80
16.5	-0.5	50.6	0.89	0.8	0	0	0	0.0	80
17.5	-0.9	50.3	0.92	0.92	0	0	0	0.0	80
18.5	-1.6	52.3	0.85	0.85	0	0	0	0.0	80
19.5	-2.4	54.7	0.92	0.92	0	0	0	0.0	80
20.5	-2.5	52.5	1.12	1.0	0	0	0	0.0	80
21.5	-2.3	50.6	1.23	1.03	0	0	0	0.0	80
22.5	-2.9	51.7	1.09	0.88	0	0	0	0.0	80
23.5	-2.1	47.2	0.92	0.92	0	0	0	0.0	80
24.5	-2.4	47.7	0.92	0.92	0	0	0	0.0	80
25.5	-3.1	50.8	1.04	0.94	0	0	0	0.0	80
26.5	-3.2	49.7	1.3	1.09	0	0	0	0.0	80
27.5	-2.9	47.4	0.97	0.87	0	0	0	0.0	80
28.5	-3.4	49.5	1.17	0.94	0	0	0	0.0	80
29.5	-3.6	49.3	1.12	1.0	0	0	0	0.0	80
30.5	-2.9	45.9	1.17	0.94	0	0	0	0.0	80
31.5	-3.4	47.6	1.04	0.94	0	0	0	0.0	80
32.5	-3.7	50.0	1.04	0.94	0	17	0	0.0	80
33.5	-3.5	48.9	1.09	0.88	0	32	0	0.0	80
34.5	-2.0	50.4	1.09	1.17	523	138	0	0.0	80
35.5	0.3	44.2	0.94	1.04	770	111	0	0.0	80
36.5	2.7	34.1	0.78	1.16	799	99	0	0.0	80
37.5	3.1	30.7	1.88	1.94	737	83	0	0.0	80
38.5	1.9	32.7	1.31	1.51	397	102	0	0.0	80
39.5	-0.5	40.4	0.59	0.68	0	16	0	0.0	80
40.5	-1.5	46.1	0.83	0.72	0	0	0	0.0	80
41.5	-2.5	49.4	0.97	0.87	0	0	0	0.0	80
42.5	-3.1	50.5	1.12	1.0	0	0	0	0.0	80
43.5	-3.1	49.2	1.05	0.76	0	0	0	0.0	80
44.5	-3.9	51.7	1.23	1.03	0	0	0	0.0	80
45.5	-4.3	53.6	1.09	0.88	0	0	0	0.0	80
46.5	-3.7	47.3	1.2	0.9	0	0	0	0.0	80
47.5	-4.3	51.4	1.23	1.03	0	0	0	0.0	80
48.5	-4.1	49.3	1.17	1.09	0	0	0	0.0	80
49.5	-4.0	49.7	1.12	1.0	0	0	0	0.0	80
50.5	-3.8	49.1	1.17	1.09	0	0	0	0.0	80
51.5	-2.6	43.5	1.1	0.69	0	0	0	0.0	80
52.5	-2.2	43.1	1.09	0.88	0	0	0	0.0	80
53.5	-2.6	44.8	1.01	0.82	0	0	0	0.0	80
54.5	-2.9	45.8	1.01	0.82	0	0	0	0.0	80
55.5	-2.4	43.7	1.04	0.94	0	0	0	0.0	80
56.5	-2.3	44.6	1.01	0.82	0	17	0	0.0	80
57.5	-3.3	50.7	0.65	0.47	0	33	0	0.0	80
58.5	-0.9	46.1	0.85	0.85	524	140	0	0.0	80
59.5	0.4	43.5	1.0	1.12	771	114	0	0.0	80
60.5	2.5	38.3	0.94	1.04	833	90	0	0.0	80
61.5	3.8	32.4	0.69	1.1	740	87	0	0.0	80
62.5	2.7	34.6	0.84	1.24	399	109	0	0.0	80
63.5	0.5	40.0	0.68	0.59	0	16	0	0.0	80
64.5	-1.7	49.8	1.01	0.82	0	0	0	0.0	80
65.5	-1.8	47.6	0.97	0.87	0	0	0	0.0	80
66.5	-3.4	54.8	0.99	0.99	0	0	0	0.0	80
67.5	-3.5	52.1	1.12	1.0	0	0	0	0.0	80
68.5	-3.3	50.3	1.04	0.94	0	0	0	0.0	80
69.5	-3.7	51.9	1.15	0.96	0	0	0	0.0	80
70.5	-3.9	51.3	1.17	1.09	0	0	0	0.0	80
71.5	-4.2	52.2	1.06	1.06	0	0	0	0.0	80
72.5	-4.0	49.0	1.12	1.0	0	0	0	0.0	80
73.5	-4.2	49.9	0.99	0.99	0	0	0	0.0	80
74.5	-4.7	52.9	0.99	0.99	0	0	0	0.0	80
75.5	-5.1	54.0	1.04	0.94	0	0	0	0.0	80
76.5	-4.9	52.2	1.12	1.0	0	0	0	0.0	80
77.5	-5.3	53.9	1.12	1.0	0	0	0	0.0	80
78.5	-4.9	50.9	1.17	0.94	0	0	0	0.0	80
79.5	-4.9	51.2	1.2	0.9	0	0	0	0.0	80
80.5	-4.6	50.6	1.2	0.9	0	18	0	0.0	80
81.5	-4.2	49.9	1.01	0.82	0	33	0	0.0	80
82.5	-2.5	49.9	1.23	1.32	525	139	0	0.0	80
83.5	-0.4	45.3	1.0	1.12	772	115	0	0.0	80
84.5	1.5	39.8	0.53	0.96	834	87	0	0.0	80
85.5	2.4	34.0	0.8	1.27	763	81	0	0.0	80
86.5	1.2	36.1	1.3	1.39	402	110	0	0.0	80
87.5	-1.5	45.8	0.6	0.8	0	18	0	0.0	80
88.5	-2.4	49.2	0.87	0.68	0	0	0	0.0	80
89.5	-3.0	51.3	0.89	0.8	0	0	0	0.0	80
90.5	-3.2	50.5	1.09	0.88	0	0	0	0.0	80
91.5	-3.3	50.5	0.89	0.8	0	0	0	0.0	80
92.5	-4.2	54.4	1.01	0.82	0	0	0	0.0	80
93.5	-4.2	52.7	0.98	0.69	0	0	0	0.0	80
94.5	-4.5	52.5	0.89	0.8	0	0	0	0.0	80
95.5	-5.0	54.6	0.78	0.78	0	0	0	0.0	80
96.5	-5.6	55.7	0.89	0.8	0	0	0	0.0	80
97.5	-5.8	55.0	0.89	0.8	0	0	0	0.0	80
98.5	-6.2	55.0	0.97	0.87	0	0	0	0.0	80
99.5	-6.3	55.6	1.09	0.88	0	0	0	0.0	80
100.5	-6.9	58.0	0.89	0.8	0	0	0	0.0	80
101.5	-6.8	57.1	0.85	0.85	0	0	0	0.0	80
102.5	-6.3	55.9	1.01	0.82	0	0	0	0.0	80
103.5	-5.6	53.7	0.47	0.38	0	0	12	0.0	80
104.5	-5.0	54.3	0.69	0.41	0	73	25	0.0	80
105.5	-3.8	50.8	-0.0	0.8	0	121	38	0.0	80
106.5	-2.9	47.7	-1.0	-0.0	96	144	50	0.0	80
107.5	-2.3	45.3	-2.4	-1.62	628	130	62	0.0	80
108.5	-3.0	51.2	-3.43	-2.59	765	96	75	0.0	80
109.5	-3.1	58.8	-2.68	-2.09	684	69	62	0.0	80
110.5	-3.1	59.6	-1.72	-1.2	407	107	50	0.0	80
111.5	-4.6	65.4	-0.71	-0.71	0	17	38	0.0	80
112.5	-5.7	69.0	0.85	0.85	0	0	25	0.0	80
113.5	-6.8	69.7	1.09	0.88	0	0	12	0.0	80
114.5	-7.2	70.1	0.71	0.71	0	0	0	0.0	80
115.5	-7.6	69.0	0.64	0.64	0	0	5	0.0	80
116.5	-8.0	67.4	0.95	0.74	0	0	10	0.0	80
117.5	-7.9	66.2	0.78	0.78	0	0	16	0.0	80
118.5	-7.2	63.0	1.03	0.62	0	0	21	0.0	80
119.5	-7.3	65.2	0.61	0.51	0	0	26	0.0	80
120.5	-7.4	64.5	0.68	0.59	0	0	31	0.0	80
121.5	-6.9	63.0	0.83	0.72	0	0	36	0.0	80
122.5	-6.1	62.2	0.71	0.71	0	0	42	0.0	80
123.5	-5.6	60.7	0.42	0.42	0	0	47	0.0	80
124.5	-5.1	64.5	0.76	0.66	0	0	52	0.0	80
125.5	-4.9	65.6	0.75	-0.5	0	0	57	0.0	80
126.5	-5.9	68.2	-0.92	-1.31	0	0	62	0.0	80
127.5	-6.2	83.0	0.64	0.64	0	0	67	0.3	80
128.5	-5.9	84.5	-1.6	-0.0	0	19	71	0.0	80
129.5	-4.5	78.5	0.82	1.01	0	89	75	0.0	80
130.5	-3.0	76.2	0.76	0.25	0	99	79	0.0	80
131.5	-2.2	73.2	-0.83	-0.56	7	158	83	0.0	80
132.5	-1.9	71.0	-0.97	-0.87	8	157	88	0.0	80
133.5	-1.3	73.2	0.15	0.78	0	98	85	0.0	80
134.5	-0.2	70.2	0.5	0.5	323	103	83	0.0	80
135.5	-0.5	69.6	0.0	-0.9	0	42	81	0.0	80
136.5	-2.2	78.5	-0.34	-1.05	0	0	79	0.0	80
137.5	-2.5	79.7	1.11	0.67	0	0	77	0.0	80
138.5	-2.1	76.5	0.62	0.32	0	0	75	0.0	80
139.5	-3.2	80.0	0.89	0.8	0	0	69	0.0	80
140.5	-3.7	81.6	-0.37	-1.14	0	0	62	0.0	80
141.5	-4.5	82.6	0.89	0.8	0	0	56	0.0	80
142.5	-4.0	76.0	0.64	0.64	0	0	50	0.0	80
143.5	-4.2	74.0	0.64	0.64	0	0	44	0.0	80
144.5	-4.5	73.3	0.42	0.42	0	0	38	0.0	80
145.5	-5.2	74.9	0.99	0.99	0	0	31	0.0	80
146.5	-5.7	75.4	1.13	1.13	0	0	25	0.0	80
147.5	-5.0	69.7	1.12	1.0	0	0	19	0.0	80
148.5	-5.0	72.2	-0.8	-1.39	0	0	12	0.0	80
149.5	-6.1	76.6	0.97	0.87	0	0	6	0.0	80
150.5	-5.1	69.5	0.78	0.63	0	0	0	0.0	80
151.5	-5.5	71.2	0.69	0.58	0	0	8	0.0	80
152.5	-5.3	70.7	1.11	0.45	0	26	17	0.0	80
153.5	-5.1	70.8	0.45	-0.23	0	50	25	0.0	80
154.5	-4.1	69.8	-0.86	-0.28	230	147	33	0.0	80
155.5	-1.8	67.8	-0.24	0.97	668	105	42	0.0	80
156.5	-0.8	66.0	-1.5	-0.8	750	114	50	0.0	80
157.5	-0.6	69.2	-1.46	-0.88	459	127	54	0.0	80
158.5	-0.8	62.1	0.53	0.73	52	93	58	0.0	80
159.5	-2.2	77.1	-0.85	-0.98	0	26	62	0.0	80
160.5	-2.6	80.1	-0.19	-0.78	0	0	67	0.0	80
161.5	-2.6	78.4	0.85	0.85	0	0	71	0.0	80
162.5	-2.3	79.1	0.8	0.6	0	0	75	0.0	80
163.5	-2.9	81.4	0.5	0.0	0	0	69	0.0	80
164.5	-3.4	82.6	-0.41	-0.8	0	0	62	0.0	80
165.5	-4.2	85.5	0.35	0.35	0	0	56	0.0	80
166.5	-4.7	85.4	0.83	0.72	0	0	50	0.0	80
167.5	-4.7	85.9	0.47	0.38	0	0	44	0.0	80
